period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5
0,-0.02615169128289328,-0.06667553845349751,0.009476260456446927,-0.09188193982232011,0.03386780037894196,-0.10271896548330021,0.04643551959140232,0.042108182726047584,0.04634803613630016,-6.2686530588501065e-16,-0.002696211436667666,0.0026038661586768822,-0.00460156181824962,0.004458287289787372,-0.005551943138303114,0.00529001440524514,0.014714270930607764,0.015482693563642989,-0.2649787255749901,-0.008613672056076268,0.006719879468869292,0.09428352194641906
3,-0.12680746274112084,-0.3396898075035679,0.07796215821196888,-0.47910304608044957,0.2131394472000844,-0.5447084929751991,0.2821666675151603,0.21079139437662978,0.21707379382463526,-0.026725628870158884,-0.12695940381040038,0.058003717492922095,-0.19601665358020753,0.11655307529404149,-0.22298455032965722,0.14220973185549965,0.10304589724971457,0.10688144713120937,-1.4800858086202007,-0.244576809369553,0.09297370853896209,0.44469601639197454
6,-0.29753306539661517,-0.5573568242483442,-0.058551672322574994,-0.7267632202948614,0.0984841718916926,-0.807387084883968,0.1764957677642312,0.2519815787585343,0.25877108863051446,-0.18126608455297633,-0.3190985121906622,-0.05067255379547472,-0.4203328869100432,0.015258922637060024,-0.46900281805283495,0.05190767877497064,0.13980584893899287,0.14384554183483494,-1.871746788670831,-0.49281900209630586,-0.003142066424380118,0.4342963000896552
9,-0.42265101115806064,-0.7061483150803417,-0.15276683087783835,-0.8941645584522314,0.018650333804048472,-0.9835980505754865,0.10503118442977741,0.2792923671063627,0.28626742632613944,-0.2521835279266599,-0.4232736514636178,-0.11496806652609651,-0.5347985638628197,-0.0206139383868847,-0.587352043503295,0.023743247344586903,0.16540300359464627,0.1643535612970635,-2.4979408216903307,-0.7234457904655309,-0.04181571231557981,0.36435888744798184
12,-0.5056585571038441,-0.8005022016241544,-0.22763583293947853,-0.9950714703174143,-0.04634593166862597,-1.0871163859693636,0.04378346018897939,0.290476321613611,0.29567852292972685,-0.3220784878350182,-0.5098878535107345,-0.15506247522334202,-0.6214358550745155,-0.05239984361961252,-0.6723178948721997,-0.0045829667835648735,0.17822387413627175,0.17597424096387843,-3.0935492897658503,-0.8203006448217867,-0.06915435182122945,0.3182581343775984
15,-0.5676145997022339,-0.8837404056257401,-0.2668281914788204,-1.0915362505514252,-0.07093994352713835,-1.1878748033287507,0.025470950906833684,0.30998948730925446,0.313725564025595,-0.3787940496130302,-0.5707593873835186,-0.19049223467087156,-0.6928198414251643,-0.07094387194486834,-0.7495674188860859,-0.015076970343946061,0.19281910925976628,0.18570389596360037,-3.394580721711612,-0.9433091631365766,-0.06602362456625654,0.27198065627735757
18,-0.6147722073480973,-0.9460457612254592,-0.2965089599409845,-1.162011379398555,-0.08786236227744978,-1.2634151970076188,0.014719968110801628,0.3248386968625433,0.32841745190853533,-0.438676090002179,-0.6413713621814695,-0.2001490061354216,-0.7476101104408752,-0.06732243495360749,-0.8103196040606536,-0.018196232810285096,0.20071179238982662,0.19605492189147278,-3.4330882720762474,-1.0020333847920755,-0.07206950151758576,0.2509049036583085
21,-0.6323934577647403,-0.9838190919551658,-0.30184395417174437,-1.2059614976751616,-0.0854792626072164,-1.3101331658629858,0.01951762691889556,0.33625181237644136,0.3416234310576058,-0.45285621813430227,-0.6651008990192097,-0.19267578384911854,-0.7868125222665872,-0.055925322761561785,-0.8582937359720961,-0.008158799798128474,0.2090614009019022,0.20723132972580352,-3.260373311828311,-1.0364323712204002,-0.06481589361777138,0.20634614622918257
24,-0.6393532984547793,-0.9870682090426786,-0.3068141706107512,-1.2107963293258805,-0.09027740909626221,-1.3160213582707903,0.013845442907309493,0.3339112721507398,0.34019081650478444,-0.4589641085447722,-0.6845555144746988,-0.21441221611216066,-0.8137841581687693,-0.05596400207528196,-0.8890095910300615,0.0036371778999802137,0.2137446978734595,0.21275506614607945,-3.236942584362537,-1.0228227065541629,-0.0574829025595433,0.17397655359339506
27,-0.6301115060583102,-0.997878356421751,-0.2858863845311347,-1.2368791790222722,-0.06650751492883251,-1.3474231227428957,0.04045735088359766,0.3442955709299242,0.3595806166150432,-0.4292108836694588,-0.6556713091407443,-0.16857553441358494,-0.8174207759366454,-0.03410602444185737,-0.8912388446583875,0.02323999148427397,0.2149107681882696,0.21769378364503694,-3.2754196496441064,-1.0216229049515362,-0.051044551958410816,0.21946820131337713
