period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,corrected_estimate,estimate_se,corrected_lower,corrected_upper
0,-0.21169525919309842,-0.2715152098912089,-0.14210944394913588,-0.310638678045852,-0.09659890114626396,-0.32959361457325154,-0.07454948960774323,0.07267787595750022,0.06289470853867439,4.1748455508194837e-4,-8.489411076545595e-4,5.525910170486043e-4,-0.023886468308347175,8.110708414661062e-4,-0.04496966385694466,9.368698695097947e-4,0.0075803738711961955,0.007442192555827443,-0.0029095820721780252,0.005199228944629853,-0.011828136671236718,0.006008972526880674
3,-0.5535943234783249,-0.642408811152136,-0.45724001006367704,-0.7004952980118956,-0.3942223233480048,-0.7286376310784418,-0.36369087232536973,0.09689129629467153,0.08930945108218122,0.02723885851191321,0.0010474880453976623,0.05357267916785408,-0.022161689243813187,0.0707955351180735,-0.03441455084373903,0.07913983987312653,0.040144890620237794,0.04068309874173602,-0.012684315170871856,0.0545047076950585,-0.11064756463612803,0.08527893429438438
6,-0.7414144559211917,-0.8724556186055098,-0.614020915513009,-0.9581592123964899,-0.5307029411064502,-0.9996817628528271,-0.4903361998394086,0.12810350499410003,0.1317714554802104,0.048091958804352686,0.017258143432469387,0.07953659112008639,-0.014065067990774113,0.10779578400986714,-0.031011285735032534,0.13039600541874233,0.06604820950513329,0.06700685063438351,-0.01864410915105381,0.09188540220640351,-0.1837930102133631,0.14650479191125565
9,-0.9405343619908824,-1.094015683561654,-0.7686515638431277,-1.194395599070282,-0.6562367072411645,-1.2430286834269906,-0.6017728119851388,0.1728407015015846,0.15433667343999424,0.03958157446061761,-0.025885080736000196,0.10343349459526896,-0.06870160883214885,0.14260860319187815,-0.09272642871714853,0.15273204911987406,0.09059626977522331,0.09088982370763604,-0.04065449091642616,0.11718913041687198,-0.25128268255583,0.1699737007229778
12,-0.7304717539840785,-0.9461192281645532,-0.5242153422457204,-1.0871570757433127,-0.38931944109293826,-1.155488529341686,-0.323963700286665,0.20740587934467028,0.21684927820617414,0.05179186028279048,-0.1811738813726944,0.14873741701241122,-0.3004842764314334,0.1716212441483462,-0.35466643321759067,0.1827082339098649,0.15407973845825557,0.17194660689922223,-0.04703988193451675,0.1282580497903459,-0.2670487394027897,0.17296897553375631
15,-1.1999136006804934,-1.4260348720558274,-0.9706502273356699,-1.5739227966779334,-0.820707303922903,-1.6455730454059,-0.7480614284399953,0.23054105881773887,0.2273814459044715,0.04331648015448164,-0.06731859975297652,0.10398751398230424,-0.1703958891479833,0.12737013146724924,-0.22589723273164142,0.1484021350661906,0.1359228105235482,0.13546683561873626,-0.08325252636416378,0.1562220144844277,-0.36403590864602753,0.19753085591770023
18,-1.3023386526853111,-1.559028774951945,-1.060052892839073,-1.7269093516978447,-0.9015930629822222,-1.808245844255806,-0.8248208298763315,0.24363601911850374,0.2581206570942254,0.07006151870780353,-0.06682441004503897,0.10669816148081726,-0.19349707001722363,0.13027812719134352,-0.2548687311398756,0.14170238926326922,0.15615711171240804,0.15619955593443513,-0.09896713504336943,0.1716251951342317,-0.4074352016830939,0.20950093159635522
21,-1.4075428708251478,-1.679047424986119,-1.1464946069699407,-1.8566169424229297,-0.9757637167138471,-1.9426476316990355,-0.8930462752212114,0.2625030866190503,0.2730176498623065,0.0726113020224961,-0.10925113331959359,0.10884352108636933,-0.24739730667719756,0.1325401315344664,-0.31432777248217636,0.14402090683748323,0.17428507315806563,0.17562599050098288,-0.11283658458135866,0.1843287546807335,-0.4441372105646409,0.21846404140192383
24,-1.1341044583962299,-1.4552223994662739,-0.8343231448357709,-1.6652400841136674,-0.6382600498722016,-1.7669915920931643,-0.5432694037027385,0.3014519957274333,0.3229075323266486,-0.32467684210641945,-0.4059451890082784,-0.0867669978643466,-0.4414589328256767,0.14617383549035706,-0.5209582989818582,0.1569832904326312,0.21462725351049128,0.24398387633337223,-0.10698931504969711,0.18092629197024257,-0.41734322147047304,0.20336459137107898
27,-2.245703226067544,-2.6883395019377176,-1.8556941842504011,-2.9778326566628284,-1.6006203142540858,-3.118089250256254,-1.4770395264653495,0.39218256338652935,0.44510308917407654,-0.4049489650122622,-0.42584268251611346,-0.23865675666488387,-0.5517874524656012,-0.12130068738179489,-0.635772664455386,-0.0644428230540881,0.22512044600080913,0.23111460622858881,-0.3202514881505404,0.10150159459564795,-0.5172156036882948,-0.12328737261278588
