period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,-0.08162083727928122,-0.19767950767124878,0.011045180786793328,-0.2731368885010807,0.0694148651718697,-0.31037425901039983,0.09876708126243065,0.09630327254068359,0.11279899688226641,-5.133905706444786e-6,-0.003973275551475955,0.0024493359136085794,-0.0084122297850401009,0.0062824498578066485,-0.010349504639686102,0.009945935729055054,0.010716205072528653,0.009961020188308042,-1.2309929922377538,-0.17711025079652945,0.017328693993592457,0.3225394068343826,-0.02772089007776945,0.02623977026465788,-5.653736176181223e-4,0.00478150543192632,-2.3774060074596825e-4,5.173664419268683e-4
3,-0.08445935666998886,-0.27522391315767886,0.09342116174605193,-0.398436794704855,0.21209461185029924,-0.4560163030730656,0.26474489043824606,0.17167641205084988,0.1862157466197431,0.0025568961535049617,-0.06115419143049605,0.061390409005334226,-0.11909426078703489,0.11533026350381875,-0.1457489996638599,0.14827243139131707,0.09484447891330422,0.09658332941669966,-1.375024777663941,-0.322648341820741,0.15840076056051222,0.5127640923970764,-0.01984223116663855,0.08859560263084251,0.013709419082345057,0.03651353907814259,0.027567229716686646,0.022050969405445923
6,-0.09884321327111922,-0.34293761219603125,0.13235088259023417,-0.5002260202418501,0.27663037398486984,-0.5772581711795094,0.34650175792020704,0.2257947693324939,0.2395230449981006,-0.005076995426836634,-0.10199721856860608,0.08623317218134857,-0.17724837510550268,0.15816320970563522,-0.21461235655099653,0.1954995219688661,0.1270805915221085,0.13154467122469138,-1.6439781934512776,-0.3596466676332668,0.20309165318902828,0.6925507355501629,-0.03243873916190044,0.09430669590501752,0.01640200041098531,0.05041231775186279,0.03331463144387078,0.0293276815236058
9,-0.12334804815795146,-0.4040662026826442,0.14799101172116425,-0.5887771662971631,0.32481886748514405,-0.6786152865764529,0.4082288872480743,0.26531739596696946,0.2807525426237927,-0.021536818549447223,-0.1444332272799555,0.10129807753690952,-0.23974799693095,0.19190943296508478,-0.299559307336741,0.23592404150269985,0.15106207218285422,0.1563540650296461,-1.7777530036878022,-0.4499552807330681,0.22303246358998477,0.8100673450771423,-0.04875198007584276,0.08492561252278369,0.016884666413027914,0.05873480614943255,0.03311282893244375,0.0323335633230651
12,-0.1609999467684015,-0.481509331113422,0.14500897082020206,-0.6903090410015347,0.3512139183886693,-0.7924440482616146,0.44991961196800473,0.30196683290974985,0.31948354423222214,-0.032725156393631494,-0.19020044554419616,0.11143880014985688,-0.2974358666610457,0.21375306164390728,-0.3619701144006653,0.2623161085181199,0.16531963025664967,0.1756955863074179,-2.222195486989629,-0.5011286668981084,0.2160603280000851,0.8936564606449751,-0.053583523465822264,0.11574536199769951,0.022106259723583252,0.08658509479390565,0.040881435728029415,0.04293817907793932
15,-0.19650711931990628,-0.5499159605458431,0.14811227586559927,-0.7838380807646943,0.37314267456959477,-0.8961113092998882,0.481329560035206,0.33893462424176335,0.3561665957924916,-0.04779786895940247,-0.22212297476731133,0.1053198452706358,-0.36651000504769904,0.21653553432110847,-0.42182744154634577,0.27837988666983454,0.18007311332526213,0.19059070300729117,-2.3424674533382044,-0.5519942602670287,0.2182066430083625,0.9029536176032088,-0.08516168375306057,0.1338378197915241,0.010018772773978016,0.08508097306938471,0.036496378900245846,0.04421779317095421
18,-0.22323082149969367,-0.606122302663997,0.1425938893783066,-0.8570211714852276,0.38835279224811525,-0.9821327512223097,0.502170690786865,0.3671282088852473,0.38174815025102427,-0.07556228739173272,-0.26620994579608237,0.08873182050159095,-0.4057967873710183,0.20726181551588124,-0.4668025189122821,0.26659026842629285,0.19765536759625638,0.20454495287762026,-2.404959392596923,-0.6082616608905749,0.21359312419700957,0.9846436631222779,-0.10937417365897614,0.2108558280065144,-0.006401572190672052,0.07157814219962885,0.03507593941191182,0.029641253673183356
21,-0.24681985578846768,-0.6752940531678165,0.1486184666269261,-0.9453482484595676,0.41425886402436773,-1.0753017394239974,0.5434267192580892,0.3976922597509272,0.41324239116652567,-0.09951176552788621,-0.2927267572546697,0.07755290865411567,-0.44460394370703005,0.2053053579560964,-0.506951759161494,0.2719978635047448,0.20421649816951976,0.22032050621684884,-2.4321986873530514,-0.6499140731226941,0.20384919888756114,1.0617217509781545,-0.131843394024754,0.22814937898638843,-0.02178019489541684,0.05450654352651065,0.022945922804418876,0.018159739496596765
24,-0.30612625611539185,-0.7532554574694617,0.11814243600583683,-1.0394078434361356,0.3934838959142077,-1.1787001548877545,0.5308351441488148,0.4209199871783891,0.43609523210078727,-0.1472989566430021,-0.3706413900979923,0.06267154855987285,-0.5041975887143724,0.18962371154247837,-0.5745131040505527,0.2621720696238604,0.22340940649799612,0.23177900225238296,-2.678630316299026,-0.7382067338063899,0.16792339925653957,1.0920509657831574,-0.1774177753959188,0.23873610811958063,-0.04147242350403726,0.039656006855041524,0.008471819641506742,0.007074993608632301
27,-0.3588436851468868,-0.8389022488963966,0.08843515654193365,-1.1456371567329402,0.3877443472598202,-1.2942206965101661,0.5307695455169305,0.4507407492844909,0.463661710781543,-0.17069164905829787,-0.41364297757197466,0.03999618511289921,-0.5689416163520293,0.16866776152866386,-0.6502719298821124,0.24739943283814245,0.23925666232932224,0.24584992592443758,-2.9237205630111696,-0.8238170941281011,0.09796376122911973,1.0854224064090143,-0.224399247839812,0.1592593655926645,-0.05315783708422639,0.032925952397996526,-0.016186615676184835,-0.012343324455217564
