period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5
0,0.008035873700020915,-0.027962734876690654,0.041341449475069056,-0.05248032913156322,0.06408989794737481,-0.06369858002064559,0.07551975865363789,0.05160297817152734,0.05003567502265066,-6.8483769351534995e-6,-0.0045325809819341785,0.0038547186392265125,-0.008912109088866058,0.005968092715614116,-0.012778543471533193,0.007341540936488507,0.027909116466507483,0.02451328228792422,-0.0656984473319922,-0.008163937791617818,0.007163049621298078,0.22874026568941702
3,0.0053015794710116505,-0.09648945504626295,0.10574118518154421,-0.16112050385522622,0.1743858888151587,-0.19251623254453445,0.20688511771046544,0.0996493630325532,0.09980292468009566,-0.017156235800555142,-0.07757681235110299,0.031980314850757766,-0.10613337298162041,0.0777507699194735,-0.12715498005873488,0.08992741580844883,0.07154715817212155,0.07201048094682917,-0.2478983564055191,-0.08443410481916294,0.12032516390236103,0.31689823604896705
6,-0.09009442440528814,-0.24830347586001197,0.07363095035922369,-0.35385770676655337,0.18202367396678162,-0.40279671280761464,0.23430891730465825,0.1676215256511775,0.1555509265690943,-0.14073450001438548,-0.2169119663012875,-0.037979576672276985,-0.29344287595809027,0.07725987405292256,-0.3219789736805575,0.11442761779893779,0.10289337994186643,0.10138312325571124,-0.4629193159723979,-0.22116598811465737,0.11755324897061606,0.3428697570975943
9,-0.23126183559035812,-0.4460483402040681,-0.002698589623051646,-0.5784305083786824,0.1429869403336673,-0.6420181328583721,0.2122425439963899,0.22588224628616288,0.20469227637951265,-0.2790229418884725,-0.4131186207545844,-0.12351868138661407,-0.4755259500366297,0.007744513341809367,-0.5334717670966926,0.10351325662759236,0.14001758201156353,0.1267537057557409,-0.6987293127437425,-0.4041401532211476,-0.007402542365198108,0.349289805348527
12,-0.35389558950601735,-0.6234899903859357,-0.0889908156329803,-0.7850039506051696,0.08209074757887565,-0.8615391373293046,0.1673140279738419,0.26636080131247947,0.24546664707764262,-0.3604385065258407,-0.5353981675108013,-0.23675019965340266,-0.6103522869391148,-0.07436832658790207,-0.6466668225169683,-0.0011098210293405686,0.1698763675387247,0.15102272365187136,-0.8102841878044226,-0.6477970423065621,-0.03856061379788316,0.30287348332995734
15,-0.41205980401211667,-0.7141434186370285,-0.1120256015803765,-0.888417913625266,0.0672330804475953,-0.9728521968485598,0.1540821533977461,0.28891553470264614,0.27140119861616324,-0.4530587461583041,-0.6124182677140194,-0.29434814442136903,-0.7008412896395289,-0.14899112756525215,-0.7436813763499903,-0.08591619108366311,0.20247380403606577,0.1731450687659042,-0.9005105306542822,-0.7988530670278351,-0.019849757500416402,0.4388409273756622
18,-0.4728837677153364,-0.7794696476872938,-0.14507091527456406,-0.9716243392247501,0.0722750800120356,-1.0646049141930451,0.1645155885485644,0.30526849756678454,0.2996088037448765,-0.47381102752025106,-0.6734190998865379,-0.3039752800687064,-0.769798492941357,-0.18855019742448476,-0.8605166731539231,-0.11437336408213028,0.18884083921989464,0.20421288799124598,-1.6540664043495201,-0.8432786847303122,-0.08755705921708934,0.477175312650191
21,-0.5424511293739042,-0.8560908915617242,-0.1879986980634172,-1.063991793137119,0.028891684774001485,-1.1672171564467329,0.13958467878821124,0.32001533156360723,0.32578585497106766,-0.4810359305580635,-0.6545097222959435,-0.3150252161621025,-0.770535605088092,-0.22301104053625476,-0.8082334588655872,-0.1557223273196075,0.21113336380480824,0.23977286819200794,-2.485926980942025,-0.963598155150438,-0.0343432829789784,0.6098691283964354
24,-0.5974774489213968,-0.942353375320437,-0.21151637151486036,-1.167909267064127,0.02805044169911889,-1.2772061284893497,0.14235565391887295,0.3479659022585331,0.35674127902460967,-0.49346814080591095,-0.645141114573836,-0.2753270442016238,-0.8124065957758663,-0.1896176959002121,-0.8491840025419225,-0.1347422687723182,0.2428695415963092,0.2832069559049309,-2.845595218228807,-1.1012801332489321,-0.06943823202145946,0.7027407918870817
27,-0.6740493432791794,-1.0586648878466813,-0.25785683066807036,-1.3081356916564122,0.005085986467976243,-1.4285889354247396,0.1295725907251289,0.38224025125370165,0.39002464509147344,-0.5423151356901315,-0.7122121276639508,-0.23593989352722008,-0.921455288079122,-0.15543067304649957,-1.0228315466660374,-0.12000233911731745,0.2702130668488753,0.31990599525617064,-2.961839060348557,-1.164886207880286,-0.20292566118390848,0.5482447039776456
