period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5
0,-0.005771837851127665,-0.039179676545455296,0.03046909701354738,-0.061449841720093205,0.0535252125075136,-0.07232245522436927,0.06472441338473851,0.04662490465991037,0.04435197883409132,1.0288835820412606e-4,-0.0022110796874097206,0.002553815491517131,-0.003272155354030623,0.0037823199529439704,-0.003311202119207057,0.004895988622362431,0.021736839697990982,0.020215236172414087,-0.10164182186047305,-0.027412202356984258,0.0028388022184388,0.077037868419346
3,0.025618520458143917,-0.03955538850371627,0.08800341160427562,-0.08250293167779615,0.12877037609684827,-0.10299812003370852,0.14877816086458565,0.06391797937218764,0.06466496905163345,0.023809907734832818,-0.011071155108863532,0.06447001617497256,-0.045913673610138477,0.09066219761114551,-0.05764106683948569,0.09817968960179185,0.051823847943123544,0.05122357132908445,-0.11110869673572252,-0.03102729304995989,0.07807823877049166,0.19847734436241557
6,0.06239720621359165,-0.02451195657700845,0.14346132430919936,-0.08207034597824939,0.19583415836765175,-0.11021231121397279,0.2208409879080621,0.0820562713056874,0.08699863624359727,0.04630377097849748,-0.009746221581428204,0.11579851835672146,-0.05600667203787643,0.15407722441618532,-0.07988992597046081,0.1749203034480995,0.06566127447474204,0.07383361910825678,-0.12879653248744444,-0.0012290904207373436,0.14698295522489943,0.33770113719705824
9,0.09278373654938213,-0.00873710188405718,0.19058145268495047,-0.07539070124366883,0.25426273527549653,-0.10739639056511632,0.2848991498137951,0.09980052372228923,0.10228219849225678,0.07541231170276294,0.028953633264172118,0.13772585158010464,-0.0328780486764261,0.2074940328099099,-0.06480866349569592,0.23132594823188468,0.07568914501900237,0.08337184743018206,-0.14027998994155078,-0.005688625855151387,0.19855233211880968,0.44868293687129024
12,0.13825520408041642,0.01772207648752321,0.24966781804004762,-0.05828059292804931,0.3231342628902371,-0.09357613033016052,0.3586990874362084,0.11642434739943956,0.11867277457395878,0.11497250281958939,0.05374538096880985,0.18712264884443053,-0.0063504459633406535,0.2500905246800944,-0.042859231306433716,0.2882376373794895,0.07638436086238434,0.08641670764631326,-0.11434160188275813,-0.017250731073658904,0.32870130605171494,0.5359876739012179
15,0.1797728672162168,0.05074540647809833,0.3043926823874127,-0.02820072922246664,0.3860530777483863,-0.06609836425136809,0.42606457328149794,0.12769724008474104,0.1250951923814704,0.13919475035667117,0.0724303481872347,0.23091095433978517,0.02498903727917432,0.31485800269682857,-0.009807267768707661,0.34183737170982287,0.09217559841010661,0.09564647469989918,-0.16855280695937896,-3.1331821297432067e-4,0.3804156782638506,0.6493284432217052
18,0.20404141745522975,0.06863993845316023,0.3404130963105337,-0.015895547846616037,0.43035573817751377,-0.0565420817716651,0.47398566704720113,0.139589796916881,0.13397142943126963,0.15931582854311804,0.08429460869547256,0.25456931063108723,0.034222531778842415,0.3428278801179655,6.020612980648654e-4,0.37533547163918485,0.10397714406744435,0.09373615091163506,-0.1812109470313036,-4.1614741060424094e-4,0.4058532846455112,0.7657605056348639
21,0.21564043752402892,0.07816728899834899,0.3637832189554337,-0.009770332598045016,0.4598010145731363,-0.05227385031312274,0.5071094224088882,0.1493082482996987,0.1383924521990331,0.15827121724718343,0.0894278848981708,0.2598055743404598,0.03917518414218671,0.35058269149868027,-0.009352045385777545,0.3951762549915492,0.10842427325591651,0.10022255035558957,-0.16331326859895967,0.01741544129208495,0.39409678358293193,0.8235755939799215
24,0.22130176326462234,0.07800110309764799,0.37815486096090023,-0.01477999773200187,0.48085383504638085,-0.059577334870763714,0.5308173967440191,0.1566836935127025,0.14381137364602642,0.15410872468637088,0.0768933392382582,0.26724226103115767,0.020574975527627055,0.3739179876621047,-0.014749721679569614,0.4250898351621452,0.10738805967291871,0.09599536789953106,-0.10592989323042368,0.0038387439849047263,0.3971238795453128,0.8788263587525751
27,0.2142406589445881,0.06644680917265616,0.3760205718237446,-0.02930538043750038,0.48362272226728753,-0.07504252097454449,0.5360080602738245,0.16454736762302796,0.14843814127231353,0.1231535093809554,0.042594282859680546,0.27744692770765816,-0.010517652132896621,0.36480366680863996,-0.028523966107739347,0.4032676803946317,0.10109474444229091,0.09379048751664434,-0.04384284878840014,0.007008706217177318,0.4187119372370847,0.8343626493057977
