"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5UJEDKS8","journalArticle","2014","Nguyen, Ha","Monetary transmission mechanism analysis in a small, open economy: the case of Vietnam","University of Wollongong Thesis Collection 1954-2016","","","","https://ro.uow.edu.au/theses/4286","","2014-01-01","2023-03-14 15:54:04","2023-03-14 16:07:41","","","","","","","","Monetary transmission mechanism analysis in a small, open economy","","","","","","","","","","","","","","","","C:\Users\Enzinger\Zotero\storage\U5BBUFVV\4286.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YY5RJVVR","report","2015","Pérez Forero, Fernando","Comparing the Transmission of Monetary Policy Shocks in Latin America: A Hierarchical Panel VAR","","","","","https://econpapers.repec.org/paper/rbpwpaper/2015-015.htm","This paper assesses and compares the effects of monetary policy shocks across Latin American countries that put in practice the Inflation Targeting scheme (Brazil, Chile, Colombia, Mexico and Peru). An estimated Hierarchical Panel VAR allows us to use the data efficiently and, at the same time, exploit the heterogeneity across countries. Monetary shocks are identified through an agnostic procedure that imposes zero and sign restrictions. We find a real short run effect of monetary policy on output (with a peak around 12-15 months); a significant medium run response of prices with the absence of the so-called price puzzle and a hump-shaped response of the exchange rate, i.e. weak evidence of the so-called delayed overshooting puzzle phenomenon. Nevertheless, we find some degree of heterogeneity on the impact and propagation of monetary shocks across countries. In particular, we find stronger effects on output and prices in Brazil and Peru relative to Chile, Colombia and Mexico and a stronger reaction of the exchange rate in Brazil, Chile and Colombia relative to Mexico and Peru. Finally, we present a weighted-averaged impulse response after a monetary shock, which is representative for the region. *Note: Winning article in the 2015 Rodrigo Gómez Central Bank Award, organized by the Center for Latin American Monetary Studies (CEMLA). The article will be published by this institution.","2015-12","2023-03-14 16:01:16","2023-03-14 16:01:16","2023-03-14 16:01:16","","","","","","","Comparing the Transmission of Monetary Policy Shocks in Latin America","","","","","Banco Central de Reserva del Perú","","","","Working Paper","","","RePEc - Econpapers","","","","C:\Users\Enzinger\Zotero\storage\PFLDE6VG\2015-015.html","","","Bayesian Hierarchical models; Panel Vector Autoregressions; Sign Restrictions","","","","","","","","","","","","","","","","","","","2015-015","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JKJIEPNC","journalArticle","2020","Nguyen, Thi Mai Lan","Output Effects of Monetary Policy in Emerging and Developing Countries: Evidence from a Meta-Analysis","Emerging Markets Finance and Trade","","1540-496X","10.1080/1540496X.2019.1601081","https://doi.org/10.1080/1540496X.2019.1601081","Using 45 studies conducted between 2001 and 2014, this paper employs a meta-regression analysis (MRA) to synthesize vector-autoregressive findings of output effects of a tightening in monetary policy in 32 emerging and developing countries. The outcomes indicate a publication bias. However, tightening of monetary policy has a negative real effect on output. Primary studies including commodity price variable(s) tend to report stronger negative effects. Output effects are likely to be more negative in an economy with a developed financial system and less effective in an economy with high inflation volatility.","2020-01-02","2023-03-14 16:02:02","2023-03-14 16:02:02","2023-03-14 16:02:02","68-85","","1","56","","","Output Effects of Monetary Policy in Emerging and Developing Countries","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/1540496X.2019.1601081","","C:\Users\Enzinger\Zotero\storage\GXGF4WSM\Nguyen - 2020 - Output Effects of Monetary Policy in Emerging and .pdf","","","C83; E52; interest rate; meta-regression analysis; monetary policy; output effect; publication bias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XAH7ARI","preprint","2002","Wrobel, Ewa; Pawlowska, Malgorzata","Monetary Transmission in Poland: Some Evidence on Interest Rate and Credit Channels","","","","10.2139/ssrn.395741","https://papers.ssrn.com/abstract=395741","In the paper we show the macroeconomic effects of a monetary policy shock using both recursive and non-recursive SVAR decomposition. We find that the responsiveness of the CPI index and output in Poland is smaller and slower than in the euro zone. Using panel data we check how bank-specific characteristics affect operation of the lending channel. In contrast to the results for the euro area the degree of liquidity of an average bank seems not to work in a way predicted by the literature. Credit channel seems to operate rather through the degree of capitalisation and bank's size. A plausible reason is the structural overliquidity of the banking sector. On the other hand, the pass-through from the market interest rates to the loan and deposit rates is in general not slower than in the euro zone.","2002-12-01","2023-03-14 16:02:07","2023-03-14 16:02:07","2023-03-14 16:02:07","","","","","","","Monetary Transmission in Poland","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","","","C:\Users\Enzinger\Zotero\storage\UR6M2YGD\Wrobel und Pawlowska - 2002 - Monetary Transmission in Poland Some Evidence on .pdf","","","interest rate pass-through","","","","","","","","","","","","","","","","","","","395741","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QH3A4EA","journalArticle","2010","Tsangarides, Charalambos G.","Monetary Policy Transmission in Mauritius Using a VAR Analysis†","IMF Working Papers","","","10.5089/9781451962789.001.A001","https://www.elibrary.imf.org/view/journals/001/2010/036/article-A001-en.xml","Applying commonly used vector autoregression (VAR) techniques, this paper investigates the transmission mechanism of monetary policy on output and prices for Mauritius, using data for 1999-2009. The results show that (i) an unexpected monetary policy tightening-an increase in the Bank of Mauritius policy interest rate-leads to a decline in prices and output but the effect on output is weaker; (ii) an unexpected decrease in the money supply or an unexpected increase in the nominal effective exchange rate result in a decrease in prices; and (iii) variations of the policy variables account for small a percentage of the fluctuations in output and prices. Taken together, these results suggest a rather weak monetary policy transmission mechanism. Finally, we find some differences in the transmission mechanism depending on whether core or headline consumer price index is used in the estimations.","2010-02-01","2023-03-14 16:02:29","2023-03-14 16:02:29","2023-03-14 16:02:29","","","036","2010","","","","","","","","","","en","","","","","www.elibrary.imf.org","","ISBN: 9781451962789 Publisher: International Monetary Fund Section: IMF Working Papers","","C:\Users\Enzinger\Zotero\storage\5MQEI5MU\Tsangarides - 2010 - Monetary Policy Transmission in Mauritius Using a .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F68GUDZ6","conferencePaper","2008","Samkharadze, Besik","Monetary Transmission Mechanism in Georgia : Analyzing Pass-Through of Different Channels","","","","","https://www.semanticscholar.org/paper/Monetary-Transmission-Mechanism-in-Georgia-%3A-of-Samkharadze/cc06d9db41f89da2f0589e16b5286993e95188c9","Semantic Scholar extracted view of ""Monetary Transmission Mechanism in Georgia : Analyzing Pass-Through of Different Channels"" by Besik Samkharadze","2008","2023-03-14 16:03:54","2023-03-14 16:03:54","2023-03-14 16:03:54","","","","","","","Monetary Transmission Mechanism in Georgia","","","","","","","","","","","","Semantic Scholar","","","","","https://www.semanticscholar.org/paper/Monetary-Transmission-Mechanism-in-Georgia-%3A-of-Samkharadze/cc06d9db41f89da2f0589e16b5286993e95188c9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHDHCTPH","journalArticle","2001","Parrado, Eric","Effects of Foreign and Domestic Monetary Policy in a Small Open Economy: the Case of Chile","Working Papers Central Bank of Chile","","","","https://ideas.repec.org//p/chb/bcchwp/108.html","This paper considers empirical evidence for a small open economy, characterizing and identifying the dynamic effects of both foreign and monetary policy shocks on Chilean macroeconomic variables. A structural VAR approach is used with non-recursive contemporaneous restrictions. Several interesting results appear in the analysis. First, consistent with the predictions of a stochastic rational expectations model, a domestic monetary contraction generates a transitory fall in output and monetary aggregates. Second, there is no evidence of price and exchange rate puzzles. Third, the source of Chilean output, price level, and real exchange rate volatility is similar to that identified in industrial countries: monetary policy explains a relatively small proportion of output, price level, and exchange rate variability. Finally, foreign monetary policy innovations have very short-lived effects on domestic interest rates and have no major influence over other Chilean macroeconomic variables; while risk premium shocks influence significatively both the interest rate and the exchange rate.","2001-09","2023-03-14 16:03:59","2023-03-14 16:03:59","2023-03-14 16:03:59","","","","","","","Effects of Foreign and Domestic Monetary Policy in a Small Open Economy","","","","Working Papers Central Bank of Chile","","","en","","","","","ideas.repec.org","","Number: 108 Publisher: Central Bank of Chile","","C:\Users\Enzinger\Zotero\storage\WE5NZNWQ\Parrado - 2001 - Effects of Foreign and Domestic Monetary Policy in.pdf; C:\Users\Enzinger\Zotero\storage\E35YCTNY\108.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DUQ7JSA","journalArticle","2017","Vo, Xuan Vinh; Nguyen, Phuc Canh","Monetary Policy Transmission in Vietnam: Evidence from a VAR Approach","Australian Economic Papers","","1467-8454","10.1111/1467-8454.12074","https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8454.12074","A thorough understanding of the transmission mechanism is a key requirement for central banks for successful implementation of monetary policy. This paper investigates the existence of the interest rate channel, exchange rate channel and asset price channel in Vietnam by employing a vector autoregressive model analysis using monthly data ranging from 2003M1 to 2012M12. The results from the analysis present evidence for a cost channel. However, we find no evidence for the existence of an exchange rate channel or asset price channel of monetary transmission in Vietnam.","2017","2023-03-14 16:04:04","2023-03-14 16:04:04","2023-03-14 16:04:04","27-38","","1","56","","","Monetary Policy Transmission in Vietnam","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1467-8454.12074","","C:\Users\Enzinger\Zotero\storage\I5VQW4PQ\Vo und Nguyen - 2017 - Monetary Policy Transmission in Vietnam Evidence .pdf; C:\Users\Enzinger\Zotero\storage\Y3QRME2R\1467-8454.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVLD92DJ","journalArticle","2011","Ngalawa, Harold; Viegi, Nicola","Dynamic Effects of Monetary Policy Shocks in Malawi","South African Journal of Economics","","1813-6982","10.1111/j.1813-6982.2011.01284.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1813-6982.2011.01284.x","This paper sets out to investigate the process through which monetary policy affects economic activity in Malawi. Using innovation accounting in a structural vector autoregressive model, it is established that monetary authorities in Malawi employ hybrid operating procedures and pursue both price stability and high growth and employment objectives. Two operating targets of monetary policy are identified, viz., bank rate and reserve money, and it is demonstrated that the former is a more effective measure of monetary policy than the latter. The study also illustrates that bank lending, exchange rates and aggregate money supply contain important additional information in the transmission process of monetary policy shocks in Malawi. Furthermore, it is shown that the floatation of the Malawi Kwacha in February 1994 had considerable effects on the country's monetary transmission process. In the post-1994 period, the role of exchange rates became more conspicuous than before although its impact was weakened, and the importance of aggregate money supply and bank lending in transmitting monetary policy impulses was enhanced. Overall, the monetary transmission process evolved from a weak, blurred process to a somewhat strong, less ambiguous mechanism.","2011","2023-03-14 16:04:14","2023-03-14 16:04:14","2023-03-14 16:04:14","224-250","","3","79","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1813-6982.2011.01284.x","","C:\Users\Enzinger\Zotero\storage\IPNVUA5N\Ngalawa und Viegi - 2011 - Dynamic Effects of Monetary Policy Shocks in Malaw.pdf; C:\Users\Enzinger\Zotero\storage\CZRB79R2\j.1813-6982.2011.01284.html","","","E52; E58; Monetary policy; monetary transmission; structural VARs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHWYAMPV","journalArticle","2003","Minella, André","Monetary policy and inflation in Brazil (1975-2000): a VAR estimation","Revista Brasileira de Economia","","0034-7140, 1806-9134","10.1590/S0034-71402003000300005","http://www.scielo.br/j/rbe/a/NtZfFrtgFz3m5n34wrhtDPH/?lang=en","This paper investigates monetary policy and basic macroeconomic relationships involving output, inflation rate, interest rate, and money in Brazil. Based on a vector autoregressive (VAR) estimation, it compares three different periods: moderately-increasing inflation (1975-1985), high inflation (1985-1994), and low inflation (1994-2000). The main results are the following: monetary policy shocks have significant effects on output; monetary policy shocks do not induce a reduction in the inflation rate in the first two periods, but there are indications that they have gained power to affect prices after the Real Plan was launched; monetary policy does not usually respond rapidly or actively to inflation-rate and output innovations; in the recent period, the interest rate responds intensely to financial crises; positive interest-rate shocks are accompanied by a decline in money in all the three periods; the degree of inflation persistence is substantially lower in the recent period.","2003-09","2023-03-14 16:04:18","2023-03-14 16:04:18","2023-03-14 16:04:18","605-635","","","57","","Rev. Bras. Econ.","Monetary policy and inflation in Brazil (1975-2000)","","","","","","","en","","","","","SciELO","","Publisher: Fundação Getúlio Vargas","","C:\Users\Enzinger\Zotero\storage\3SGZPV76\Minella - 2003 - Monetary policy and inflation in Brazil (1975-2000.pdf","","","Brazil; inflation; interest rate; monetary policy; money","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
